gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
7,19,Bukayo Saka,1,3,1365,1370,14,2,3,Bournemouth,23,88,114.0,150.7,78.0,1.96,44,166,229.39999999999998,290.4,212.0,5.029999999999999,1.53,1.53,75,9,1
7,20,William Saliba,1,2,1365,1360,14,2,3,Bournemouth,9,55,67.0,4.8,0.0,-0.2599999999999998,23,120,145.8,34.099999999999994,9.0,-3.0300000000000002,1.53,1.53,90,6,1
7,28,Matt Turner,16,1,1065,1080,13,1,4,Brentford,8,48,34.599999999999994,0.0,0.0,-1.5199999999999996,15,104,120.39999999999999,0.0,0.0,-5.77,2.75,2.1,90,3,0
7,29,Benjamin White,1,2,1365,1360,14,2,3,Bournemouth,13,66,62.199999999999996,60.199999999999996,27.0,-0.2599999999999998,22,118,115.20000000000002,104.10000000000001,33.0,-3.0300000000000002,1.53,1.53,90,14,1
7,31,Oleksandr Zinchenko,1,2,1365,1360,14,2,3,Bournemouth,10,57,35.4,39.9,6.0,-0.10000000000000009,12,70,42.8,64.6,10.0,-0.6100000000000003,1.53,1.53,68,6,1
7,33,Cameron Archer,17,4,1040,1020,14,2,19,West Ham,15,33,41.4,27.1,30.0,0.26,15,32,41.4,31.4,30.0,0.26,7.0,1.67,78,2,0
7,36,Matty Cash,2,2,1160,1180,11,1,5,Brighton,6,32,36.0,12.799999999999999,97.0,-2.49,28,105,144.79999999999998,34.6,189.0,-6.699999999999999,2.55,1.44,90,6,1
7,42,Lucas Digne,2,2,1160,1180,11,1,5,Brighton,11,53,78.39999999999999,111.99999999999999,18.0,-2.49,25,114,128.2,197.4,35.0,-6.890000000000001,2.55,1.44,90,1,0
7,43,Douglas Luiz Soares de Paulo,2,3,1160,1140,11,1,5,Brighton,14,69,80.60000000000001,27.1,29.0,1.05,24,121,145.4,97.69999999999999,67.0,2.4099999999999997,2.55,1.44,90,8,1
7,47,Boubacar Kamara,2,3,1160,1140,11,1,5,Brighton,5,39,43.0,55.300000000000004,2.0,0.09,13,84,70.19999999999999,100.1,11.0,0.22000000000000003,2.55,1.44,89,2,0
7,48,Ezri Konsa Ngoyo,2,2,1160,1180,11,1,5,Brighton,10,60,70.8,3.5999999999999996,11.0,-2.49,18,117,113.6,6.8,13.0,-7.34,2.55,1.44,90,1,0
7,49,Emiliano Martínez Romero,2,1,1160,1180,11,1,5,Brighton,9,56,72.2,0.0,0.0,-2.49,18,105,140.2,0.0,0.0,-6.609999999999999,2.55,1.44,90,2,0
7,50,John McGinn,2,3,1160,1140,11,1,5,Brighton,6,20,11.200000000000001,22.1,27.0,0.27,20,75,63.59999999999999,71.2,64.0,1.4,2.55,1.44,90,5,1
7,52,Marvelous Nakamba,12,3,1090,1060,14,2,9,Everton,5,50,51.400000000000006,31.7,4.0,0.35,8,70,76.4,65.60000000000001,6.0,0.39,6.5,2.05,180,3,0
7,60,Ollie Watkins,2,4,1160,1140,11,1,5,Brighton,16,48,35.0,40.300000000000004,86.0,1.21,31,85,95.2,120.89999999999999,192.0,2.53,2.55,1.44,90,23,1
