gameweek,player_id,player_name,team_id,overall_team_strength,team_position_relevant_strength,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,89,Illia Zabarnyi,3,1100,1145,2,15,1,17,NULL,9,49,63.400000000000006,16.3,35.0,-1.9399999999999995,55,402,453.9999999999999,76.1,49.0,-39.4,1.33,1.44,-1,-1,-1
28,90,Kristoffer Ajer,4,1100,1150,2,17,2,1,NULL,2,38,60.6,21.4,6.0,-2.1400000000000006,29,171,210.59999999999997,121.09999999999998,119.0,-18.189999999999998,12.0,1.4,-1,-1,-1
28,91,Ellery Balcombe,4,1100,1150,1,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,12.0,1.4,-1,-1,-1
28,92,Shandon Baptiste,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,16,69,71.0,25.8,58.0,1.17,12.0,1.4,-1,-1,-1
28,93,Mads Bech Sørensen,4,1100,1150,2,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,12.0,1.4,-1,-1,-1
28,94,Mads Bidstrup,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,12.0,1.4,-1,-1,-1
28,95,Sergi Canós Tenés,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,12.0,1.4,-1,-1,-1
28,96,Nathan Collins,4,1100,1150,2,17,2,1,NULL,1,20,46.6,13.6,21.0,-1.0099999999999998,53,325,434.8,98.59999999999998,133.0,-27.919999999999998,12.0,1.4,-1,-1,-1
28,97,Matthew Cox,4,1100,1150,1,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,12.0,1.4,-1,-1,-1
28,98,Mikkel Damsgaard,4,1100,1055,3,17,2,1,NULL,5,16,25.0,21.7,17.0,0.08,22,80,90.0,118.0,64.0,0.97,12.0,1.4,-1,-1,-1
