gameweek,player_id,player_name,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xg,recent_xa,recent_xgi,recent_xgc,season_points,season_bps,season_influence,season_creativity,season_threat,season_xg,season_xa,season_xgi,season_xgc,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,553,Ryan Giles,12,1055,1090,1020,1060,1090,1120,2,15,2,8,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,81,83.2,108.69999999999997,38.0,0.12,0.56,0.6800000000000002,14.04,4.33,1.67,-1,-1,-1
28,554,Gonçalo Manuel Ganchinho Guedes,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,555,Joe Hodge,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,556,Ki-Jana Hoever,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,557,Hwang Hee-chan,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,5,7,4.6,16.9,19.0,0.3,0.12,0.42,1.52,105,287,447.4,220.5,470.0,6.180000000000001,2.4300000000000006,8.610000000000001,25.009999999999998,2.45,1.8,-1,-1,-1
28,558,Raúl Jiménez,10,1055,1175,1050,1180,1060,1170,4,15,2,20,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,176,249.0,151.1,376.0,4.64,0.7000000000000001,5.34,32.9,2.87,1.8,-1,-1,-1
28,559,João Victor Gomes da Silva,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,17,49,98.4,27.400000000000002,53.0,0.59,0.08,0.67,2.29,59,261,326.2,221.9,121.0,1.13,1.0000000000000002,2.1300000000000003,30.549999999999997,2.45,1.8,-1,-1,-1
28,560,Jonathan Castro Otto,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5.0,0.0,0.0,0.0,0.0,0.0,0.07,2.45,1.8,-1,-1,-1
28,561,Bruno Cavaco Jordão,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,562,Sasa Kalajdzic,20,1100,1100,1085,1105,1115,1100,4,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,88,94.0,48.7,66.0,1.01,0.26,1.27,2.5700000000000003,2.45,1.8,-1,-1,-1
28,563,Max Kilman,20,1100,1100,1085,1105,1115,1100,2,15,1,10,NULL,9,53,45.400000000000006,5.199999999999999,3.0,0.04,0.04,0.08,4.48,70,438,592.4000000000001,162.4,172.0,1.64,0.8600000000000002,2.4999999999999996,44.29,2.45,1.8,-1,-1,-1
28,564,Tom King,20,1100,1100,1085,1105,1115,1100,1,15,1,10,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.8,-1,-1,-1
28,565,Mario Lemina,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,7,40,46.4,38.5,37.0,0.42000000000000004,0.07999999999999999,0.5,4.29,71,365,462.80000000000007,190.2,371.0,3.839999999999999,0.6400000000000001,4.4799999999999995,39.37,2.45,1.8,-1,-1,-1
28,566,Matheus Luiz Nunes,13,1355,1365,1350,1360,1360,1370,3,15,2,11,NULL,3,8,11.4,23.5,10.0,0.0,0.15,0.15,0.49,25,101,134.20000000000002,175.2,98.0,0.41000000000000003,1.51,1.92,9.01,2.25,1.5,-1,-1,-1
28,567,Pedro Lomba Neto,20,1100,1100,1085,1105,1115,1100,3,15,1,10,NULL,9,30,31.4,63.89999999999999,32.0,0.19,0.25,0.44,3.13,84,303,366.80000000000007,593.3,376.0,3.0899999999999994,3.6400000000000006,6.730000000000002,27.609999999999996,2.45,1.8,-1,-1,-1
